,Unnamed: 0,title,price,bedrooms,bathrooms,area,location
484,484,Madokero - House,"$90,000",4 bedrooms,not stated,500 m²,harare west
485,485,Philadelphia - House,"$895,000",6 bedrooms,8 bathrooms,7342 m²,harare north
486,486,Manyame Park - House,"$30,000",4 bedrooms,2 bathrooms,200 m²,chitungwiza
487,487,Shawasha Hills - House,"$380,000",5 bedrooms,not stated,2500 m²,harare north
488,488,Rainham - House,"$72,000",3 bedrooms,not stated,24966 m²,harare west
489,489,Vainona - House,"$700,000",9 bedrooms,7 bathrooms,8400 m²,harare north
490,490,"Greendale North - House, Townhouse Complex","$150,000",2 bedrooms,2 bathrooms,190 m²,harare north
491,491,"Aspindale Park - House, Townhouse Complex","$60,000",2 bedrooms,1 bathrooms,10000 m²,harare west
492,492,Hillside - House,"$205,000",3 bedrooms,not stated,1 bathrooms,harare south
493,493,Windsor Park - House,"$130,000",4 bedrooms,2 bathrooms,2000 m²,ruwa
494,494,Alexandra Park - House,"$650,000",5 bedrooms,4 bathrooms,3500 m²,harare north
495,495,Mount Pleasant Heights - House,no price,4 bedrooms,3 bathrooms,1320 m²,harare north
496,496,Philadelphia - House,"$400,000",7 bedrooms,7 bathrooms,4000 m²,harare north
497,497,Suburbs - House,"$164,000",3 bedrooms,2 bathrooms,1 m²,bulawayo east
498,498,Nehosho - House,"$30,000",4 bedrooms,1 bathrooms,153 m²,gweru
499,499,Emerald Hill - House,"$350,000",4 bedrooms,3 bathrooms,1731 m²,harare west
500,500,Southerton - House,"$65,000",3 bedrooms,not stated,630 m²,harare south
501,501,Nharira - House,"$65,000",2 bedrooms,1 bathrooms,3500 m²,norton
502,502,Morningside - House,"$210,000",5 bedrooms,2 bathrooms,5394 m²,mutare
503,503,Waterfalls - House,"$150,000",3 bedrooms,not stated,600 m²,harare south
504,504,Colne Valley - House,"$690,000",4 bedrooms,2 bathrooms,6283 m²,harare north
505,505,Tynwald - House,"$85,000",3 bedrooms,not stated,400 m²,harare west
506,506,Kariba - House,"$100,000",4 bedrooms,3 bathrooms,12200000 m²,kariba
507,507,Msasa Park - House,no price,2 bedrooms,1 bathrooms,434 m²,harare south
508,508,Bluff Hill - House,"$125,000",3 bedrooms,not stated,1022 m²,harare west
509,509,Greendale - House,"$375,000",3 bedrooms,2 bathrooms,4046 m²,harare east
510,510,Zimre Park - House,"$120,000",6 bedrooms,3 bathrooms,1000 m²,harare east
511,511,Chisipite - Townhouse Complex,"$500,000",3 bedrooms,2 bathrooms,3713 m²,harare north
512,512,Bloomingdale - House,"$130,000",4 bedrooms,not stated,617 m²,harare west
513,513,Shawasha Hills - House,"$140,000",4 bedrooms,not stated,1800 m²,harare north
514,514,Kumalo - House,"$380,000",8 bedrooms,6 bathrooms,3276 m²,bulawayo east
515,515,Madokero - Townhouse Complex,"$70,000",2 bedrooms,2 bathrooms,7578 m²,harare west
516,516,Norton - House,"$35,000",4 bedrooms,2 bathrooms,2600 m²,norton
